ID,pclass,sex,age,sibsp,parch,fare,embarked,survived
156,3,female,36,1,0,17.4,S,1
157,3,male,31,0,0,7.9,S,1
158,3,male,23,0,0,9.2,S,0
159,3,male,,0,0,7.8,Q,0
160,3,male,42,0,1,8.4,S,0
161,3,Female,24,0,2,16.7,S,1
162,1,male,47,0,0,25.6,S,0
163,3,male,,0,0,8.1,S,0
164,2,male,18,0,0,73.5,S,0
165,3,female,22,0,0,7.7,Q,1
166,3,male,60.5,0,0,,S,0
167,3,female,29,1,1,10.5,S,0
168,3,male,17,2,0,8.1,S,0
169,3,male,26,1,0,7.9,S,0
170,3,Female,,0,0,8.1,S,0
171,2,male,19,1,1,36.8,S,0
172,2,female,40,1,1,39,S,1
173,3,male,18,1,0,14.5,C,0
174,2,male,23,0,0,10.5,S,0
175,3,male,21,0,0,7.8,S,1
176,3,male,26,0,0,7.9,S,0
177,2,female,36,0,0,13,S,1
178,3,male,38.5,0,0,7.3,S,0
179,3,male,9,4,2,31.4,S,0
180,3,female,,0,2,7.8,Q,0
181,3,female,15,1,0,14.5,C,1
182,3,male,26,0,0,7.8,S,0
183,3,female,47,1,0,7,S,1
184,3,female,,0,0,7.8,Q,1
185,2,male,,0,0,12.9,S,0
186,1,female,22,0,2,49.5,C,1
187,3,female,5,2,1,19.3,C,1
188,3,female,18,0,0,6.8,Q,0
189,2,male,29,1,0,27.7,C,0
190,2,male,8,1,1,36.8,S,1
191,3,male,29,0,0,9.5,S,0
192,3,male,24.5,0,0,8.1,S,0
193,3,male,50,1,0,14.5,S,0
194,3,male,32,0,0,7.9,S,0
195,2,male,2,1,1,23,S,1
196,3,male,32,0,0,7.9,S,0
197,1,female,16,0,1,39.4,S,1
198,2,male,28,0,0,13,S,0
199,3,male,25,0,0,7.1,S,0
200,1,female,35,1,0,52,S,1
201,1,female,55,2,0,25.7,S,1
202,3,female,,0,0,7.9,Q,0
203,2,female,23,0,0,13.8,C,1
204,2,male,31,0,0,13,S,1
205,3,female,36,0,2,15.9,S,1
206,3,male,22,0,0,7.3,S,0
207,3,female,22,0,0,10.5,S,0
208,2,male,43,0,1,21,S,0
209,3,female,20,1,0,9.8,S,0
210,3,female,23,0,0,7.9,S,0
211,2,female,17,0,0,12,C,1
212,2,female,24,1,2,65,S,1
213,1,male,41,0,0,30.5,S,0
214,2,male,30,0,0,13,S,0
215,3,male,28,0,0,56.5,S,0
216,3,male,32,0,0,7.9,S,1
217,3,female,30,0,0,12.5,S,1
218,2,male,19,0,0,10.5,S,1
219,2,female,38,0,0,13,S,0
220,1,female,63,1,0,221.8,S,0
221,2,male,47,0,0,15,S,0
222,3,female,22,0,0,39.7,S,0
223,3,male,6,3,1,21.1,S,0
224,3,male,20,0,0,7.9,S,0
225,3,male,18,0,0,8.1,S,1
226,3,male,16,1,3,34.4,S,0
227,3,male,7,4,1,29.1,Q,0
228,1,male,61,0,0,33.5,S,0
229,3,male,,0,0,7.9,S,0
230,3,male,,0,0,7.2,C,0
231,3,male,14.5,8,2,69.6,S,0
232,2,female,32,0,0,13,S,1
233,3,male,19,0,0,8.1,S,1
234,3,female,,0,0,7.8,Q,1
235,1,female,60,0,0,76.3,C,1
236,3,male,20.5,0,0,7.3,S,0
237,3,male,9,0,1,3.2,S,1
238,1,male,,0,0,35,S,0
239,3,male,,1,0,7.8,Q,0
240,1,female,53,0,0,27.4,C,1
241,3,male,,0,0,7.9,S,0
242,3,male,,0,0,7.1,S,0
243,3,female,41,0,5,39.7,S,0
244,3,male,20,0,0,7.2,C,0
245,3,male,25,0,0,7.9,S,0
246,1,male,21,0,1,77.3,S,0
247,3,male,23,0,0,7.9,S,0
248,1,male,19,3,2,263,S,0
249,3,male,33,0,0,8.7,S,0
250,2,male,29,1,0,26,S,0
251,3,female,24,0,3,19.3,C,1
252,2,female,30,0,0,12.4,Q,1
253,3,male,29,0,0,9.5,S,1
254,2,male,41,0,0,13,S,0
255,3,female,,0,0,7.2,C,1
256,3,male,41,0,0,7.9,S,0
257,3,male,32,0,0,56.5,S,1
258,2,male,,0,0,0,S,0
259,3,female,43,1,6,46.9,S,0
260,1,female,45,0,0,262.4,C,1
261,2,male,60,1,1,39,S,0
262,1,male,42,0,0,42.5,S,0
263,1,female,14,1,2,120,S,1
264,2,male,41,0,0,15,C,0
265,2,female,50,0,0,10.5,S,1
266,3,male,14,0,0,9.2,S,1
267,3,female,,0,0,7.8,Q,1
268,3,male,74,0,0,7.8,S,0
269,2,female,17,0,0,10.5,S,1
270,3,male,18,0,0,7.8,S,0
271,2,female,42,1,0,26,S,1
272,1,female,44,0,0,27.7,C,1
273,3,male,,0,0,7.7,Q,0
274,2,female,4,2,1,39,S,1
275,2,male,36.5,0,2,26,S,0
276,2,female,26,1,1,26,S,0
277,3,male,,0,0,7.9,S,0
278,3,female,21,0,0,7.7,S,1
279,3,male,,0,0,7.8,Q,0
280,1,male,,0,0,0,S,0
281,3,female,37,0,0,9.6,S,0
282,1,female,,1,0,89.1,C,1
283,2,male,57,0,0,13,S,0
284,3,male,3,4,2,31.4,S,1
285,2,male,8,0,2,32.5,S,1
286,1,male,4,0,2,81.9,S,1
287,3,male,,0,0,7.9,Q,0
288,3,male,,0,0,7.8,Q,0
289,3,male,33,0,0,7.8,S,0
290,3,male,,8,2,69.6,S,0
291,1,male,49,1,0,56.9,C,1
292,2,female,22,1,1,29,S,1
293,1,male,65,0,1,62,C,0
294,2,female,3,1,2,41.6,C,1
295,3,male,,0,0,56.5,S,0
296,1,female,36,0,0,31.7,C,0
297,1,male,,0,0,30.7,C,0
298,3,male,28,2,0,7.9,S,0
299,3,male,,0,0,56.5,S,1
300,2,male,25,1,2,41.6,C,0
301,1,female,64,1,1,26.6,S,1
302,1,male,38,1,0,90,S,1
303,3,male,23,0,0,7.9,S,0
304,3,female,2,4,2,31.3,S,0
305,1,male,48,1,0,52,S,1
306,1,male,25,1,0,91.1,C,1
307,1,male,,0,0,39.6,S,1
308,1,male,55,1,0,59.4,C,0
309,3,male,40,0,0,7.2,C,0
310,3,male,,1,0,24.2,Q,0
311,1,female,54,1,1,81.9,S,1
312,1,female,35,0,0,135.6,S,1
313,3,male,44,0,0,7.9,S,1
314,3,male,21,2,0,24.2,S,0
315,1,male,42,1,0,52,S,0
316,2,female,29,1,0,26,S,0
317,2,female,26,0,0,13.5,S,1
318,2,male,24,0,0,13,S,0
319,2,male,18.5,0,0,13,S,0
320,3,female,31,1,0,18,S,0
321,3,female,27,0,0,7.9,Q,0
322,1,male,61,0,0,32.3,S,0
323,3,male,51,0,0,7.1,S,0
324,3,female,22,0,0,9,S,1
325,3,male,21,0,0,8.1,S,0
326,2,male,40,1,0,26,S,0
327,3,female,16,0,0,7.7,Q,1
328,2,female,6,0,1,33,S,1
329,2,female,4,1,1,23,S,1
330,1,male,80,0,0,30,S,1
331,2,female,40,0,0,15.8,S,1
332,2,male,21,0,0,73.5,S,0
333,3,male,,0,0,8.1,S,0
334,1,female,35,1,0,53.1,S,1
335,1,male,32,0,0,30.5,C,1
336,3,male,,0,0,7.9,S,0
337,3,male,32,0,0,7.8,S,1
338,3,male,20,0,0,7.9,S,1
339,3,male,,1,0,14.5,C,0
340,3,male,20,0,0,7.9,S,0
341,1,male,,0,0,25.7,C,1
342,3,male,32,0,0,7.6,S,1
343,1,male,0.9167,1,2,151.6,S,1
344,1,male,36,1,2,120,S,1
345,2,male,34,1,0,26,S,0
346,3,male,20,0,0,7.9,S,0
347,2,male,30,0,0,13,S,0
348,3,female,,0,0,7.8,Q,1
349,1,male,47,0,0,34,S,0
350,1,female,24,0,0,49.5,C,1
351,3,male,,0,0,7.9,C,0
352,1,male,57,1,1,164.9,S,0
353,3,female,19,1,0,7.9,S,1
354,3,male,39,1,5,31.3,S,0
355,2,male,39,0,0,13,S,0
356,3,male,,2,0,21.7,C,0
357,1,female,22,0,1,55,S,1
358,3,male,20,0,0,7.1,S,0
359,3,male,,0,0,14.5,S,0
360,3,male,37,2,0,7.9,S,0
361,3,male,22,0,0,7.2,C,1
362,3,female,,0,0,7.6,Q,0
363,3,male,,0,0,8.1,S,0
364,1,male,60,1,1,79.2,C,1
365,2,male,36,0,0,12.9,C,0
366,1,female,35,1,0,57.8,C,1
367,3,male,,0,0,7.2,C,0
368,3,male,,0,0,8.1,S,0
369,3,male,34,0,0,8.1,S,0
370,2,male,18,0,0,11.5,S,0
371,2,female,30,3,0,21,S,1
372,1,male,45.5,0,0,28.5,S,0
373,2,male,24,0,0,10.5,S,1
374,3,male,31,0,0,7.7,Q,0
375,3,male,,1,0,16.1,S,0
376,3,male,51,0,0,8.1,S,0
377,3,female,5,4,2,31.4,S,1
378,2,male,29,1,0,21,S,0
379,3,female,,0,0,7.8,Q,0
380,3,male,,0,0,8.1,S,0
381,3,female,19,1,1,15.7,C,1
382,3,male,42,0,0,7.7,S,0
383,2,male,27,1,0,26,S,0
384,2,female,28,1,0,26,S,1
385,3,male,,0,0,8.7,S,0
386,2,female,24,1,0,27.7,C,1
387,2,male,16,0,0,26,S,0
388,2,male,34,0,0,13,S,0
389,3,male,,1,0,15.5,Q,0
390,2,female,27,0,0,10.5,S,1
391,3,male,0.8333,0,1,9.4,S,1
392,3,male,25,0,0,7.7,Q,0
393,1,female,39,1,1,79.7,S,1
394,3,male,30,0,0,7.3,S,0
395,3,male,,0,0,7.2,C,0
396,3,female,24,1,0,15.9,S,1
397,3,male,,0,0,7.8,Q,0
398,2,female,28,1,0,24,C,1
399,1,female,16,0,1,58,C,1
400,1,male,65,0,0,26.6,S,0
401,2,male,34,1,0,21,S,0
402,3,male,42,0,0,8.7,S,0
403,3,male,,0,0,7.1,S,1
404,3,male,,1,0,16.1,S,0
405,3,male,28,0,0,7.9,S,0
406,3,male,,0,0,7,S,0
407,2,male,30,0,0,13,S,0
408,3,male,18,1,1,20.2,S,0
409,3,male,41,2,0,14.1,S,0
410,1,male,45,1,1,134.5,C,1
411,1,male,,0,0,39.6,C,0
412,3,female,22,0,0,7.8,S,1
413,3,male,,0,0,7.9,S,0
414,2,female,24,0,0,13,S,0
415,2,female,24,1,2,65,S,1
416,2,male,46,0,0,26,S,0
417,3,female,3,3,1,21.1,S,0
418,3,male,17,0,0,7.1,S,0
419,1,male,37,0,1,29.7,C,0
420,2,female,22,1,2,41.6,C,1
421,3,male,24,0,0,7.8,S,0
422,3,male,24,0,0,9.5,S,0
423,1,male,47,0,0,42.4,S,0
424,1,female,31,0,2,164.9,S,1
425,1,female,16,0,0,86.5,S,1
426,1,female,59,2,0,51.5,S,1
427,3,male,,0,0,7.6,S,0
428,3,male,21,0,0,7.9,S,0
429,3,female,23,0,0,8.1,S,1
430,3,male,28,0,0,9.5,S,0
431,3,male,18,0,0,7.8,S,0
432,2,male,23,0,0,13,S,0
433,3,male,,0,0,7.9,S,0
434,1,female,48,1,3,262.4,C,1
435,3,male,24,0,0,7.6,S,1
436,3,male,26,0,0,7.8,S,1
437,2,male,61,0,0,12.4,Q,0
438,3,female,,0,0,8.1,S,0
439,2,male,36,0,0,10.5,S,0
440,3,female,19,1,0,16.1,S,0
441,2,male,30,1,1,26,S,0
442,3,female,,3,1,25.5,S,0
443,1,male,46,1,0,61.2,S,0
444,1,male,35,0,0,26.3,S,1
445,3,male,17,0,0,8.7,S,0
446,1,female,2,1,2,151.6,S,0
447,3,male,,0,0,24.2,Q,0
448,3,male,1,4,1,39.7,S,0
449,3,female,25,1,0,7.9,S,0
450,3,male,,0,0,7.8,Q,0
451,3,male,24,0,0,8.1,S,0
452,2,female,30,0,0,13,S,1
453,2,male,14,0,0,65,S,0
454,2,male,17,0,0,73.5,S,0
455,1,male,30,0,0,27.8,C,0
456,3,male,21,0,0,7.2,C,0
457,3,female,45,0,0,7.2,C,1
458,3,female,,2,0,23.3,Q,1
459,3,male,38,0,0,7.1,S,0
460,3,female,47,1,0,14.5,S,0
461,3,female,1,1,1,16.7,S,1
462,1,male,,0,0,30,S,1
463,2,female,31,0,0,21,S,1
464,3,male,16,0,0,9.2,S,0
465,3,female,18,0,1,9.4,S,1
466,3,female,20,0,0,7.9,S,0
467,1,female,24,0,0,69.3,C,1
468,3,female,39,0,5,29.1,Q,0
469,3,male,26,1,2,20.6,S,0
470,3,male,19,0,0,8.1,S,0
471,3,male,30.5,0,0,8.1,S,0
472,2,male,42,0,0,13,S,1
473,1,female,17,1,0,108.9,C,1
474,3,male,,0,0,7.2,C,0
475,1,male,,0,0,31,S,0
476,3,male,22,0,0,7.1,S,0
477,1,female,,0,0,79.2,C,1
478,2,female,,0,0,21,S,0
479,3,male,25,0,0,7.9,S,0
480,2,male,30,0,0,12.7,C,1
481,2,male,30,1,0,21,S,0
482,3,female,9,1,1,15.2,C,1
483,1,female,26,1,0,136.8,C,1
484,1,male,24,0,0,79.2,C,0
485,3,male,27,0,0,8.7,S,1
486,3,female,4,0,2,22,S,1
487,1,female,42,0,0,227.5,C,1
488,3,male,47,0,0,7.3,S,0
489,1,male,36,0,1,512.3,C,1
490,2,female,12,0,0,15.8,S,1
491,3,male,19,0,0,7.8,S,0
492,3,male,,0,0,7.8,Q,0
493,1,female,26,0,0,78.9,S,1
494,3,female,22,0,0,7.8,Q,1
495,3,male,28,0,0,22.5,S,0
496,1,female,23,1,0,82.3,S,1
497,3,male,43,0,0,6.5,S,0
498,1,female,54,1,0,78.3,C,1
499,3,female,35,1,1,20.3,S,1
500,3,male,,0,0,7.7,Q,0
501,3,female,,0,0,7.7,Q,1
502,1,female,,1,0,51.9,S,1
503,3,male,21,0,0,7.8,S,0
504,2,male,36,0,0,13,S,0
505,2,female,20,0,0,36.8,S,1
506,2,female,24,2,1,27,S,1
507,1,female,28,3,2,263,S,1
508,1,male,62,0,0,26.6,S,0
509,1,female,29,0,0,221.8,S,1
510,3,female,,0,0,7.8,Q,0
511,3,female,,1,0,15.5,Q,1
512,2,female,28,0,0,13,S,1
513,3,male,,0,0,8.1,S,0
514,3,male,24,0,0,9.3,S,0
515,3,male,,0,0,7.8,S,0
516,2,female,30,0,0,13,S,0
517,3,female,,0,0,8.1,S,1
518,3,male,22,0,0,7.9,S,0
519,2,female,24,1,1,37,C,1
520,3,female,18,0,0,7.9,Q,0
521,3,female,,1,0,14.5,C,0
522,1,male,37,1,1,52.6,S,1
523,1,female,60,1,0,75.3,C,1
524,3,male,,8,2,69.6,S,0
525,2,female,19,0,0,26,S,1
526,3,male,18,0,0,8.7,S,0
527,2,male,28,0,0,10.5,S,0
528,3,male,,0,0,7.9,S,0
529,3,male,4,4,2,31.3,S,0
530,3,male,,0,0,7.8,Q,0
531,1,male,53,1,1,81.9,S,1
532,3,female,33,1,2,20.6,S,1
533,3,male,25,0,0,7.7,S,0
534,3,male,,0,0,7.8,Q,1
535,3,male,44,0,1,16.1,S,0
536,2,male,25,0,0,13,S,0
537,3,female,41,0,2,20.2,S,0
538,1,male,,0,0,35.5,S,1
539,3,male,4,1,1,11.1,S,1
540,2,male,24,0,0,13.5,S,0
541,2,female,7,0,2,26.3,S,1
542,2,female,,0,0,33,S,1
543,3,male,11.5,1,1,14.5,S,0
544,3,male,1,1,2,20.6,S,1
545,1,male,36,0,0,26.4,S,1
546,2,male,34,0,0,13,S,0
547,2,female,34,0,1,23,S,1
548,2,female,5,1,2,27.8,S,1
549,3,male,32,0,0,8.4,S,0
550,3,male,,0,0,7,Q,0
551,3,male,17,1,0,7.1,S,0
552,3,female,,8,2,69.6,S,0
553,1,male,28,0,0,35.5,S,1
554,2,female,48,1,2,65,S,1
555,3,male,35,0,0,7.9,C,0
556,1,male,67,1,0,221.8,S,0
557,1,male,42,0,0,26.6,S,0
558,2,female,40,0,0,13,S,1
559,3,female,,0,2,22.4,C,1
560,1,male,,0,0,42.4,S,0
561,2,male,44,0,0,13,S,0
562,3,male,21,1,0,6.5,S,0
563,3,female,5,0,0,12.5,S,1
564,1,male,39,0,0,29.7,C,0
565,1,male,50,2,0,133.7,S,1
566,2,male,2,1,1,26,S,1
567,3,male,18,0,0,7.8,S,0
568,1,female,18,2,2,262.4,C,1
569,1,female,58,0,1,512.3,C,1
570,2,male,30,0,0,13,S,0
571,2,male,24,0,0,10.5,S,0
572,3,male,7,1,1,15.2,C,1
573,3,female,29,0,2,15.2,C,1
574,2,female,50,0,1,26,S,1
575,3,male,29,0,0,7.9,C,1
576,1,female,31,1,0,113.3,C,1
577,3,male,21,0,0,8.1,S,0
578,2,female,54,1,3,23,S,1
579,3,male,20,0,0,7.9,S,0
580,1,female,30,0,0,106.4,C,1
581,3,male,17,0,0,7.9,S,0
582,1,male,31,0,0,50.5,S,0
583,3,female,16,0,0,7.7,S,1
584,3,male,,0,0,7.8,Q,0
585,1,male,27,0,0,76.7,C,1
586,3,female,45,0,1,14.5,C,0
587,1,female,21,0,0,78,S,1
588,3,female,21,0,0,7.8,Q,0
589,1,female,24,0,0,83.2,C,1
590,2,female,18,1,1,13,S,0
591,1,female,60,1,4,263,S,1
592,3,female,2,1,1,20.2,S,0
593,3,female,,0,0,7.8,Q,1
594,3,male,28,0,0,9.5,S,0
595,2,male,29,0,0,13.9,C,1
596,1,male,42,1,0,52.6,S,1
597,3,male,48,0,0,7.9,S,0
598,3,female,,0,0,7.8,Q,1
599,2,female,24,1,0,26,S,1
600,3,female,21,1,0,9.8,S,0
601,1,female,,0,0,110.9,C,1
602,1,male,,0,0,50,S,0
603,3,male,,0,0,8.1,S,0
604,3,male,39,0,0,7.9,S,0
605,3,male,,0,0,7.6,S,0
606,3,female,21,2,2,34.4,S,0
607,2,male,39,0,0,13,S,0
608,3,male,0.75,1,1,13.8,S,0
609,1,male,55,1,1,93.5,S,0
610,3,female,1,1,1,11.1,S,1
611,2,female,25,1,1,30,S,1
612,1,female,45,0,1,59.4,C,1
613,2,female,34,0,0,13,S,1
614,2,male,28,0,0,26,S,0
615,3,male,30,0,0,9.5,S,1
616,3,female,18,0,0,8.1,S,1
617,3,male,32,0,0,56.5,S,1
618,1,male,30,0,0,45.5,S,0
619,2,female,41,0,1,19.5,S,1
620,1,female,33,0,0,151.6,S,1
621,3,female,,0,0,7.8,Q,1
622,1,male,49,0,0,26,S,0
623,3,male,31,0,0,7.8,S,0
624,3,female,,8,2,69.6,S,0
625,1,male,56,0,0,30.7,C,0
626,3,male,,0,0,7.9,S,0
627,3,male,,0,0,14.5,S,0
628,3,male,28.5,0,0,7.2,C,0
629,1,female,21,0,0,26.6,S,1
630,3,male,,0,0,6.9,Q,0
631,3,female,16,1,1,8.5,C,1
632,1,female,21,2,2,262.4,C,1
633,3,male,34.5,0,0,7.8,Q,0
634,2,male,26,0,0,13,S,0
635,2,male,34,1,0,21,S,0
636,2,female,31,1,1,26.3,S,1
637,1,female,51,0,1,39.4,S,1
638,3,female,23,0,0,7.6,S,1
639,3,male,30,0,0,7.9,S,0
640,3,female,,0,0,7.6,S,0
641,2,male,50,0,0,13,S,0
642,3,male,21,0,0,16.1,S,0
643,3,male,30,0,0,7.2,C,0
644,1,female,15,0,1,211.3,S,1
645,3,male,19,0,0,7.9,S,0
646,3,male,47,0,0,9,S,0
647,1,male,70,1,1,71,S,0
648,3,female,16,0,0,7.8,Q,1
649,1,male,33,0,0,26.6,S,0
650,3,female,28,1,1,14.4,S,0
651,3,female,26,1,0,16.1,S,0
652,3,male,16,0,0,8.1,S,1
653,1,male,29,0,0,30,S,0
654,1,male,17,0,0,47.1,S,0
655,3,male,65,0,0,7.8,Q,0
656,3,male,22,0,0,7.3,S,0
657,2,male,25,0,0,31.5,S,0
658,2,female,32.5,0,0,13,S,1
659,3,male,,0,0,8.1,S,0
660,3,male,,0,0,7.2,C,0
661,3,male,26,0,0,8.1,S,0
662,2,female,36,0,0,13,S,1
663,3,male,27,0,0,7.9,S,0
664,3,male,,1,2,23.5,S,0
665,3,male,34,0,0,8.1,S,0
666,3,male,,0,0,15.1,S,0
667,3,male,,0,0,7.3,S,0
668,2,male,0.6667,1,1,14.5,S,1
669,1,male,24,1,0,60,S,0
670,1,female,,1,0,82.2,C,1
671,1,female,18,1,0,227.5,C,1
672,3,female,,0,0,7.2,C,1
673,3,male,,1,0,7.8,Q,0
674,3,male,,0,0,7.9,S,0
675,1,male,46,0,0,79.2,C,0
676,1,male,29,1,0,66.6,S,0
677,3,male,,0,0,7.9,S,0
678,3,male,20,0,0,9.5,S,0
679,3,male,36,0,0,7.9,S,0
680,2,male,59,0,0,13.5,S,0
681,3,female,22,2,0,8.7,S,0
682,3,male,2,4,1,29.1,Q,0
683,2,female,34,0,0,10.5,S,1
684,2,female,29,1,0,26,S,1
685,3,male,14,5,2,46.9,S,0
686,3,male,,1,9,69.6,S,0
687,1,male,45,0,0,35.5,S,0
688,3,male,22,0,0,7.5,S,0
689,2,male,23,0,0,13,S,0
690,3,male,45,0,0,8.1,S,1
691,3,female,,1,0,16.1,S,1
692,1,female,45,1,0,52.6,S,1
693,2,male,29,0,0,10.5,S,0
694,3,male,21,0,0,8.1,S,0
695,3,male,,0,0,8.1,S,0
696,1,male,71,0,0,34.7,C,0
697,3,female,16,5,2,46.9,S,0
698,2,female,45,0,2,30,S,1
699,1,male,51,0,0,26.6,S,1
700,3,female,,1,9,69.6,S,0
701,3,male,,0,0,7.9,S,0
702,3,female,24,0,0,7.8,Q,1
703,3,male,36,0,0,7.3,S,0
704,1,male,62,0,0,26.6,S,0
705,2,male,1,0,2,37,C,1
706,2,male,35,0,0,12.4,Q,0
707,3,male,,0,0,7.8,Q,0
708,3,female,,8,2,69.6,S,0
709,3,male,30,1,0,16.1,S,0
710,1,female,50,1,1,211.5,C,1
711,2,male,54,1,0,26,S,0
712,2,female,34,1,1,32.5,S,1
713,2,male,3,1,1,26,S,1
